candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,neg_burrows,burrows_delta,distinct_1,distinct_2,dual_repaired,dist_c1_centroid,heldout_fidelity,copy_rate,copy_flag
C2_full_p08_k6,C2,full,p08,6,-2.7278,-1.9455,1.9455,0.5355,0.9178,0.4075,0.5156,0.038994,,
C2_full_p08_k7,C2,full,p08,7,-2.7582,-2.0243,2.0243,0.5688,0.9469,0.3688,0.4227,0.038668,,
C2_full_p09_k0,C2,full,p09,0,-4.7592,-1.825,1.825,0.6,0.9486,0.4632,0.4063,0.047602,,
C2_full_p09_k4,C2,full,p09,4,-1.3417,-1.8778,1.8778,0.6016,0.963,0.4061,0.3507,0.054416,,
C2_full_p09_k3,C2,full,p09,3,-2.9586,-1.9502,1.9502,0.5689,0.913,0.4027,0.3512,0.048591,,
C2_full_p09_k1,C2,full,p09,1,-2.5869,-2.0258,2.0258,0.6184,0.942,0.4094,0.311,0.04892,,
C2_full_p09_k2,C2,full,p09,2,-3.5348,-1.9285,1.9285,0.555,0.9108,0.4437,0.3448,0.061375,,
C2_full_p09_k6,C2,full,p09,6,-1.9102,-1.8705,1.8705,0.612,0.9397,0.4408,0.3546,0.059037,,
C2_full_p09_k7,C2,full,p09,7,-3.7382,-1.991,1.991,0.5487,0.9075,0.431,0.3556,0.048025,,
C2_full_p09_k5,C2,full,p09,5,-2.4538,-1.973,1.973,0.5729,0.9164,0.4482,0.2955,0.038634,,
C2_full_p10_k0,C2,full,p10,0,-2.5731,-1.982,1.982,0.5738,0.9233,0.4228,0.5417,0.042866,,
C2_full_p10_k4,C2,full,p10,4,-2.6668,-2.0729,2.0729,0.5781,0.9341,0.4352,0.4079,0.028171,,
C2_full_p10_k2,C2,full,p10,2,-2.7046,-1.9939,1.9939,0.5476,0.9178,0.4482,0.5241,0.043645,,
C2_full_p10_k3,C2,full,p10,3,-2.1632,-1.9381,1.9381,0.6075,0.9191,0.4538,0.4359,0.045564,,
C2_full_p10_k1,C2,full,p10,1,-2.3187,-1.7681,1.7681,0.5957,0.9333,0.4264,0.5527,0.045693,,
C2_full_p10_k5,C2,full,p10,5,-2.0894,-1.9888,1.9888,0.5415,0.8883,0.4733,0.5143,0.055508,,
C2_full_p10_k6,C2,full,p10,6,-2.0694,-1.753,1.753,0.582,0.9644,0.5039,0.541,0.046456,,
C2_full_p10_k7,C2,full,p10,7,-1.7326,-1.8553,1.8553,0.6017,0.9218,0.5233,0.5134,0.045282,,
C2_full_p11_k1,C2,full,p11,1,-0.6367,-1.9769,1.9769,0.5392,0.901,0.4021,0.3732,0.051009,,
C2_full_p11_k4,C2,full,p11,4,-2.1258,-2.0223,2.0223,0.5729,0.9138,0.4691,0.3406,0.046005,,
C2_full_p11_k0,C2,full,p11,0,-1.4928,-1.9583,1.9583,0.5892,0.9404,0.503,0.4489,0.055326,,
C2_full_p11_k3,C2,full,p11,3,-0.7114,-1.9853,1.9853,0.6053,0.9519,0.4327,0.404,0.055536,,
C2_full_p11_k2,C2,full,p11,2,-0.3253,-1.9151,1.9151,0.5959,0.9584,0.4535,0.4305,0.035654,,
C2_full_p11_k5,C2,full,p11,5,-2.202,-1.9794,1.9794,0.5781,0.9321,0.4316,0.3798,0.058084,,
C2_full_p11_k6,C2,full,p11,6,-1.1792,-1.787,1.787,0.5888,0.9237,0.4555,0.4081,0.05345,,
C2_full_p11_k7,C2,full,p11,7,-2.9668,-2.0017,2.0017,0.6432,0.9791,0.45,0.4109,0.034478,,
C2_full_p12_k3,C2,full,p12,3,-1.8953,-1.8884,1.8884,0.5792,0.9178,0.4342,0.5008,0.031611,,
C2_full_p12_k1,C2,full,p12,1,-3.0503,-1.9691,1.9691,0.5587,0.9136,0.389,0.6359,0.022223,,
C2_full_p12_k2,C2,full,p12,2,-2.5304,-1.9411,1.9411,0.5942,0.9265,0.3132,0.5387,0.031625,,
C2_full_p12_k0,C2,full,p12,0,-3.462,-1.9043,1.9043,0.5903,0.9405,0.3543,0.4095,0.034866,,
C2_full_p12_k4,C2,full,p12,4,-4.606,-2.0266,2.0266,0.5371,0.9179,0.3033,0.5729,0.023889,,
C2_full_p12_k5,C2,full,p12,5,-2.6191,-1.8913,1.8913,0.574,0.9479,0.2325,0.4852,0.039132,,
C2_full_p12_k6,C2,full,p12,6,-2.9577,-1.976,1.976,0.5538,0.9218,0.3392,0.5036,0.047249,,
C2_full_p12_k7,C2,full,p12,7,-3.6153,-1.9793,1.9793,0.5858,0.9426,0.418,0.5525,0.020594,,
C2_full_p13_k2,C2,full,p13,2,-3.5551,-1.9717,1.9717,0.5342,0.9182,0.3996,0.5365,0.022684,,
C2_full_p13_k0,C2,full,p13,0,-1.8821,-1.8899,1.8899,0.5968,0.9388,0.3976,0.5799,0.040661,,
C2_full_p13_k1,C2,full,p13,1,-5.8209,-1.9395,1.9395,0.5765,0.9288,0.45,0.5259,0.046963,,
C2_full_p13_k3,C2,full,p13,3,-1.9102,-2.0342,2.0342,0.5777,0.9372,0.3843,0.4332,0.052127,,
C2_full_p13_k4,C2,full,p13,4,-2.7729,-1.9165,1.9165,0.595,0.9199,0.3909,0.5129,0.051876,,
C2_full_p13_k5,C2,full,p13,5,-3.414,-1.9833,1.9833,0.6039,0.9444,0.4347,0.5292,0.043256,,
C2_full_p13_k6,C2,full,p13,6,-2.1352,-1.9589,1.9589,0.5745,0.9147,0.4226,0.5705,0.054701,,
C2_full_p13_k7,C2,full,p13,7,-2.4584,-1.9019,1.9019,0.6156,0.9407,0.4068,0.5054,0.051138,,
C2_full_p14_k1,C2,full,p14,1,-2.1199,-1.852,1.852,0.5758,0.9309,0.5472,0.4236,0.030974,,
C2_full_p14_k0,C2,full,p14,0,-3.781,-1.9237,1.9237,0.5802,0.941,0.4784,0.4322,0.038284,,
C2_full_p14_k3,C2,full,p14,3,-4.2368,-1.8979,1.8979,0.573,0.9296,0.4818,0.4491,0.028148,,
C2_full_p14_k2,C2,full,p14,2,-3.3961,-1.9789,1.9789,0.5824,0.936,0.4349,0.3939,0.028551,,
C2_full_p14_k4,C2,full,p14,4,-0.581,-1.8222,1.8222,0.5936,0.933,0.5174,0.3425,0.035881,,
C2_full_p14_k5,C2,full,p14,5,-2.8717,-1.7582,1.7582,0.5938,0.9295,0.4626,0.4756,0.027374,,
C2_full_p14_k7,C2,full,p14,7,-2.8496,-1.8133,1.8133,0.5541,0.9312,0.524,0.4646,0.035185,,
C2_full_p14_k6,C2,full,p14,6,-1.9332,-1.9211,1.9211,0.5768,0.9432,0.5288,0.4118,0.028853,,
C2_full_p15_k0,C2,full,p15,0,-2.894,-1.9129,1.9129,0.5884,0.9577,0.4064,0.4261,0.050355,,
C2_full_p15_k2,C2,full,p15,2,-5.637,-2.0602,2.0602,0.5751,0.9117,0.375,0.4387,0.034291,,
C2_full_p15_k1,C2,full,p15,1,-2.0187,-2.0072,2.0072,0.5158,0.9077,0.3233,0.5285,0.04993,,
C2_full_p15_k3,C2,full,p15,3,-3.5539,-1.9338,1.9338,0.5878,0.96,0.3279,0.473,0.032303,,
C2_full_p15_k4,C2,full,p15,4,-2.5156,-1.8784,1.8784,0.5585,0.9173,0.3564,0.3896,0.033113,,
C2_full_p15_k5,C2,full,p15,5,-5.678,-2.1392,2.1392,0.5858,0.9454,0.3603,0.4983,0.044865,,
C2_full_p15_k7,C2,full,p15,7,-1.7291,-2.0947,2.0947,0.5571,0.9292,0.342,0.4778,0.048849,,
C2_full_p15_k6,C2,full,p15,6,-1.9948,-1.8894,1.8894,0.538,0.9128,0.3722,0.4854,0.043083,,
C2_none_p00_k1,C2,none,p00,1,-1.862,-1.9166,1.9166,0.5625,0.9455,0.3779,0.5458,0.033846,,
C2_none_p00_k0,C2,none,p00,0,-2.3395,-2.1496,2.1496,0.5851,0.9199,0.3466,0.5571,0.017417,,
C2_none_p00_k3,C2,none,p00,3,-1.8594,-1.937,1.937,0.5464,0.907,0.3771,0.5771,0.038221,,
C2_none_p00_k2,C2,none,p00,2,-4.0802,-2.0736,2.0736,0.5493,0.9118,0.4661,0.5765,0.022054,,
C2_none_p00_k4,C2,none,p00,4,-2.0332,-1.918,1.918,0.5966,0.9551,0.3647,0.6227,0.030255,,
C2_none_p00_k5,C2,none,p00,5,-2.2936,-2.2245,2.2245,0.5265,0.8994,0.3928,0.5022,0.025426,,
C2_none_p00_k6,C2,none,p00,6,-3.5758,-2.0924,2.0924,0.5824,0.9421,0.3175,0.5568,0.027639,,
