candidate_id,condition,ablation,prompt_id,n_idx,calibrated_luar,neg_burrows,burrows_delta,distinct_1,distinct_2,dual_repaired,dist_c1_centroid,heldout_fidelity,copy_rate,copy_flag
C3_none_p03_k6,C3,none,p03,6,-4.2228,-2.0672,2.0672,0.5777,0.9317,0.258,0.5481,0.051501,0.0105,False
C3_none_p03_k7,C3,none,p03,7,-3.2624,-2.0276,2.0276,0.5683,0.9123,0.2637,0.531,0.050881,0.0141,False
C3_none_p04_k0,C3,none,p04,0,-11.9103,-1.9878,1.9878,0.5912,0.9418,0.4976,0.3714,0.015944,0.0053,False
C3_none_p04_k1,C3,none,p04,1,-9.7235,-1.965,1.965,0.5577,0.9256,0.4148,0.3781,0.038407,0.0018,False
C3_none_p04_k2,C3,none,p04,2,-5.1667,-1.8284,1.8284,0.5378,0.9045,0.4552,0.3805,0.014268,0.0035,False
C3_none_p04_k3,C3,none,p04,3,-7.6388,-1.9391,1.9391,0.5577,0.9366,0.4543,0.3186,0.037541,0.0035,False
C3_none_p04_k4,C3,none,p04,4,-4.7706,-1.9002,1.9002,0.5653,0.9288,0.4824,0.3908,0.032245,0.0018,False
C3_none_p04_k5,C3,none,p04,5,-5.0544,-2.0261,2.0261,0.544,0.9198,0.4301,0.3785,0.033065,0.0069,False
C3_none_p04_k6,C3,none,p04,6,-6.8504,-1.8459,1.8459,0.5361,0.9164,0.4269,0.3458,0.019473,0.0018,False
C3_none_p04_k7,C3,none,p04,7,-6.2312,-1.8401,1.8401,0.5941,0.9515,0.4125,0.3586,0.035111,0.0017,False
C3_none_p05_k1,C3,none,p05,1,-5.8059,-2.1936,2.1936,0.5496,0.8864,0.3356,0.4778,0.056128,0.0126,False
C3_none_p05_k2,C3,none,p05,2,-5.7968,-2.1547,2.1547,0.5598,0.9298,0.3054,0.4153,0.064578,0.0091,False
C3_none_p05_k0,C3,none,p05,0,-2.6901,-1.9622,1.9622,0.5249,0.903,0.2994,0.455,0.05991,0.007,False
C3_none_p05_k4,C3,none,p05,4,-5.4555,-1.898,1.898,0.5507,0.9148,0.3129,0.4694,0.069142,0.007,False
C3_none_p05_k3,C3,none,p05,3,-3.7228,-2.0815,2.0815,0.5565,0.898,0.2629,0.4547,0.071662,0.0036,False
C3_none_p05_k5,C3,none,p05,5,-1.9854,-2.1748,2.1748,0.5435,0.9187,0.2273,0.3631,0.049707,0.0019,False
C3_none_p05_k6,C3,none,p05,6,-4.4571,-1.9401,1.9401,0.61,0.9794,0.1793,0.4037,0.042931,0.0018,False
C3_none_p05_k7,C3,none,p05,7,-5.184,-1.9973,1.9973,0.5432,0.919,0.2703,0.4456,0.059702,0.0071,False
C3_none_p06_k0,C3,none,p06,0,-4.0712,-1.9101,1.9101,0.5337,0.9108,0.4153,0.3975,0.04164,0.0034,False
C3_none_p06_k1,C3,none,p06,1,-4.7722,-1.9586,1.9586,0.5527,0.9229,0.3807,0.3303,0.030583,0.0181,False
C3_none_p06_k3,C3,none,p06,3,-2.8497,-1.8482,1.8482,0.5455,0.9031,0.3761,0.3941,0.018675,0.0181,False
C3_none_p06_k2,C3,none,p06,2,-4.1441,-2.0158,2.0158,0.5289,0.8895,0.4003,0.337,0.039108,0.0088,False
C3_none_p06_k4,C3,none,p06,4,-3.5138,-1.836,1.836,0.5699,0.9195,0.39,0.3517,0.03768,0.0171,False
C3_none_p06_k5,C3,none,p06,5,-3.6764,-1.7985,1.7985,0.5749,0.9208,0.3799,0.3841,0.063651,0.007,False
C3_none_p06_k6,C3,none,p06,6,-4.1883,-2.0622,2.0622,0.5257,0.8859,0.3641,0.3537,0.025334,0.0176,False
C3_none_p06_k7,C3,none,p06,7,-4.7612,-1.8667,1.8667,0.571,0.9231,0.3571,0.2945,0.029933,0.0053,False
C3_none_p07_k0,C3,none,p07,0,-7.8512,-2.0391,2.0391,0.61,0.9588,0.2208,0.449,0.040279,0.0018,False
C3_none_p07_k1,C3,none,p07,1,-8.1699,-2.1637,2.1637,0.5848,0.9531,0.2316,0.5035,0.069259,0.0036,False
C3_none_p07_k3,C3,none,p07,3,-6.3039,-1.8734,1.8734,0.55,0.9091,0.2144,0.399,0.05102,0.0019,False
C3_none_p07_k2,C3,none,p07,2,-5.9002,-1.9435,1.9435,0.6041,0.9471,0.2434,0.4974,0.059931,0.0073,False
C3_none_p07_k4,C3,none,p07,4,-6.8958,-2.203,2.203,0.5625,0.9248,0.2031,0.3929,0.053485,0.0038,False
C3_none_p07_k5,C3,none,p07,5,-8.4163,-1.9245,1.9245,0.5562,0.9313,0.2809,0.5083,0.055302,0.0018,False
C3_none_p07_k6,C3,none,p07,6,-3.8231,-2.0893,2.0893,0.5672,0.9281,0.1774,0.4443,0.059639,0.0018,False
C3_none_p07_k7,C3,none,p07,7,-8.4644,-2.0781,2.0781,0.5913,0.9426,0.1835,0.4886,0.064596,0.0105,False
C3_none_p08_k1,C3,none,p08,1,-4.0215,-2.1133,2.1133,0.5528,0.9076,0.306,0.5406,0.051462,0.0193,False
C3_none_p08_k0,C3,none,p08,0,-3.658,-2.0449,2.0449,0.5702,0.9337,0.3463,0.5507,0.04052,0.0017,False
C3_none_p08_k3,C3,none,p08,3,-2.8461,-1.9944,1.9944,0.5723,0.9449,0.3326,0.633,0.039136,0.0018,False
C3_none_p08_k4,C3,none,p08,4,-6.0447,-2.0229,2.0229,0.5923,0.9403,0.3189,0.5169,0.044047,0.0018,False
C3_none_p08_k2,C3,none,p08,2,-3.0946,-2.2869,2.2869,0.5157,0.9003,0.293,0.5295,0.04392,0.0051,False
C3_none_p08_k5,C3,none,p08,5,-3.953,-1.9311,1.9311,0.5775,0.9196,0.3165,0.5388,0.040028,0.0017,False
C3_none_p08_k6,C3,none,p08,6,-1.6619,-1.949,1.949,0.5858,0.9444,0.2977,0.5856,0.059109,0.0103,False
C3_none_p08_k7,C3,none,p08,7,-4.3954,-2.1261,2.1261,0.5659,0.9339,0.3218,0.529,0.021658,0.0,False
C3_none_p09_k0,C3,none,p09,0,-8.2272,-1.8203,1.8203,0.5666,0.9503,0.4102,0.3973,0.02888,0.0085,False
C3_none_p09_k1,C3,none,p09,1,-4.2972,-1.7794,1.7794,0.5969,0.9449,0.403,0.4417,0.022027,0.0171,False
C3_none_p09_k3,C3,none,p09,3,-4.2073,-1.9093,1.9093,0.5904,0.932,0.4536,0.3601,0.020959,0.0072,False
C3_none_p09_k4,C3,none,p09,4,-7.6994,-1.9073,1.9073,0.5763,0.9472,0.4488,0.3862,0.035067,0.0051,False
C3_none_p09_k2,C3,none,p09,2,-6.7854,-1.7273,1.7273,0.5805,0.9658,0.4008,0.3076,0.033198,0.0097,False
C3_none_p09_k5,C3,none,p09,5,-10.1957,-1.6921,1.6921,0.5879,0.9605,0.388,0.3736,0.016876,0.0034,False
C3_none_p09_k6,C3,none,p09,6,-10.8612,-1.9813,1.9813,0.5765,0.9507,0.3633,0.3288,0.028891,0.0018,False
C3_none_p09_k7,C3,none,p09,7,-5.0507,-1.8515,1.8515,0.5995,0.9542,0.3735,0.3022,0.026912,0.0121,False
C3_none_p10_k1,C3,none,p10,1,-5.7193,-1.9924,1.9924,0.514,0.916,0.4376,0.4356,0.030617,0.0018,False
C3_none_p10_k0,C3,none,p10,0,-5.1428,-2.0172,2.0172,0.5531,0.9426,0.4449,0.3931,0.030527,0.0018,False
C3_none_p10_k2,C3,none,p10,2,-2.2695,-2.0594,2.0594,0.5301,0.9233,0.3837,0.3943,0.017589,0.0035,False
C3_none_p10_k3,C3,none,p10,3,-3.5253,-1.9737,1.9737,0.5124,0.8785,0.4297,0.4368,0.03216,0.0018,False
C3_none_p10_k4,C3,none,p10,4,-3.3013,-2.1206,2.1206,0.5286,0.9071,0.3592,0.4361,0.022397,0.0017,False
C3_none_p10_k5,C3,none,p10,5,-4.4829,-1.9879,1.9879,0.5805,0.9424,0.3814,0.3917,0.017911,0.0018,False
C3_none_p10_k6,C3,none,p10,6,-5.3348,-1.994,1.994,0.5292,0.8911,0.4222,0.3828,0.018673,0.0,False
C3_none_p10_k7,C3,none,p10,7,-5.3584,-2.0791,2.0791,0.532,0.9271,0.4228,0.4026,0.019564,0.0018,False
C3_none_p11_k1,C3,none,p11,1,-8.7415,-1.9989,1.9989,0.5352,0.9058,0.3873,0.3061,0.044431,0.0051,False
C3_none_p11_k4,C3,none,p11,4,-7.8259,-2.0592,2.0592,0.5758,0.9058,0.3812,0.3611,0.047341,0.0324,False
C3_none_p11_k2,C3,none,p11,2,-7.1603,-2.169,2.169,0.553,0.931,0.3567,0.3148,0.050565,0.0312,False
C3_none_p11_k0,C3,none,p11,0,-5.4515,-1.9829,1.9829,0.6006,0.9468,0.3865,0.3525,0.027727,0.0088,False
C3_none_p11_k3,C3,none,p11,3,-6.0636,-1.9903,1.9903,0.5869,0.94,0.3473,0.374,0.040219,0.0144,False
C3_none_p11_k5,C3,none,p11,5,-7.2163,-2.057,2.057,0.5581,0.9205,0.3022,0.4438,0.045793,0.0291,False
C3_none_p11_k6,C3,none,p11,6,-6.6877,-2.0073,2.0073,0.5632,0.9049,0.3218,0.3772,0.032246,0.0182,False
C3_none_p11_k7,C3,none,p11,7,-6.4618,-2.1253,2.1253,0.5486,0.9295,0.3396,0.3216,0.02596,0.0052,False
C3_none_p12_k3,C3,none,p12,3,-1.8301,-2.156,2.156,0.5378,0.93,0.2767,0.5787,0.012106,0.0036,False
C3_none_p12_k2,C3,none,p12,2,-0.5052,-2.148,2.148,0.5568,0.9145,0.2531,0.512,0.037831,0.0018,False
C3_none_p12_k0,C3,none,p12,0,-1.2268,-1.704,1.704,0.5616,0.9533,0.2686,0.5013,-0.000138,0.0035,False
C3_none_p12_k1,C3,none,p12,1,-4.3473,-2.0296,2.0296,0.6038,0.9644,0.3296,0.4917,0.026244,0.0087,False
C3_none_p12_k4,C3,none,p12,4,-4.0979,-2.0004,2.0004,0.5836,0.9512,0.2328,0.5593,0.025398,0.0056,False
C3_none_p12_k5,C3,none,p12,5,-2.5099,-1.8238,1.8238,0.5863,0.9522,0.247,0.5594,0.027395,0.0018,False
C3_none_p12_k6,C3,none,p12,6,-1.8533,-1.7678,1.7678,0.6011,0.9457,0.1942,0.5582,0.028184,0.009,False
C3_none_p12_k7,C3,none,p12,7,-3.8492,-1.8216,1.8216,0.5895,0.9551,0.2589,0.598,0.016577,0.0051,False
C3_none_p13_k0,C3,none,p13,0,-6.21,-2.0005,2.0005,0.5817,0.9444,0.2627,0.5251,0.047568,0.0439,False
C3_none_p13_k1,C3,none,p13,1,-4.6735,-1.8967,1.8967,0.5353,0.9183,0.2375,0.6203,0.055673,0.0455,False
C3_none_p13_k2,C3,none,p13,2,-6.1146,-2.0202,2.0202,0.5534,0.9368,0.2906,0.4996,0.045546,0.0231,False
C3_none_p13_k4,C3,none,p13,4,-5.0723,-1.8618,1.8618,0.5515,0.9365,0.235,0.4845,0.031813,0.0261,False
C3_none_p13_k3,C3,none,p13,3,-5.7361,-1.8839,1.8839,0.589,0.9478,0.3053,0.4889,0.046731,0.0305,False
C3_none_p13_k5,C3,none,p13,5,-4.7782,-1.8809,1.8809,0.5887,0.9515,0.2614,0.502,0.057646,0.0449,False
C3_none_p13_k6,C3,none,p13,6,-4.381,-2.0046,2.0046,0.5484,0.938,0.257,0.4698,0.034403,0.0139,False
C3_none_p13_k7,C3,none,p13,7,-4.7234,-2.0986,2.0986,0.5538,0.9407,0.2064,0.5498,0.037846,0.0429,False
C3_none_p14_k0,C3,none,p14,0,-7.6414,-1.8932,1.8932,0.5549,0.9294,0.57,0.4715,0.048434,0.0018,False
C3_none_p14_k1,C3,none,p14,1,-6.3376,-1.9765,1.9765,0.56,0.937,0.5,0.43,0.045012,0.0,False
C3_none_p14_k2,C3,none,p14,2,-3.6041,-2.0635,2.0635,0.5891,0.9424,0.5547,0.4076,0.036075,0.0018,False
C3_none_p14_k3,C3,none,p14,3,-6.7788,-1.9476,1.9476,0.5957,0.9573,0.4666,0.402,0.042468,0.0038,False
C3_none_p14_k4,C3,none,p14,4,-3.3556,-1.9709,1.9709,0.5597,0.906,0.5712,0.4639,0.054456,0.0018,False
C3_none_p14_k5,C3,none,p14,5,-8.9764,-1.9921,1.9921,0.5639,0.9192,0.5131,0.3771,0.059027,0.0018,False
C3_none_p14_k6,C3,none,p14,6,-8.6278,-2.0713,2.0713,0.5731,0.9253,0.5287,0.4136,0.047831,0.0,False
C3_none_p14_k7,C3,none,p14,7,-5.8638,-1.8978,1.8978,0.5686,0.9513,0.477,0.415,0.043746,0.0036,False
C3_none_p15_k1,C3,none,p15,1,-3.6099,-2.069,2.069,0.5241,0.8807,0.387,0.4623,0.046875,0.0273,False
C3_none_p15_k0,C3,none,p15,0,-4.3827,-1.9756,1.9756,0.5528,0.9415,0.3165,0.3744,0.043316,0.0124,False
C3_none_p15_k4,C3,none,p15,4,-3.1818,-2.2688,2.2688,0.5412,0.9204,0.3094,0.4077,0.029751,0.0147,False
C3_none_p15_k3,C3,none,p15,3,-0.795,-1.9786,1.9786,0.5598,0.8918,0.2923,0.4856,0.026103,0.0128,False
C3_none_p15_k2,C3,none,p15,2,-1.5315,-2.0707,2.0707,0.4821,0.8792,0.3195,0.4304,0.039433,0.0152,False
C3_none_p15_k5,C3,none,p15,5,-3.9378,-2.0975,2.0975,0.5072,0.8988,0.3669,0.4443,0.02997,0.0036,False
C3_none_p15_k6,C3,none,p15,6,-0.4447,-1.935,1.935,0.5639,0.9304,0.2878,0.4074,0.042377,0.0035,False
C3_none_p15_k7,C3,none,p15,7,-7.1084,-1.9289,1.9289,0.5227,0.8904,0.267,0.4723,0.058452,0.0121,False
